IMU Time (s), Acc x, Acc y, Acc z, Ori yaw, Ori pitch, Ori roll, Mag Time (s), Mag x, Mag y, Mag z
3.15436, -0.13385009765625, 0.0223388671875, -0.05035400390625, -2.92041015625, 0.81787109375, 0.2421875, 61.793584, -477, -526, -3086
3.174976, -0.09771728515625, 0.04949951171875, -0.03790283203125, -2.87109375, 0.791015625, 0.28369140625, 62.197464, -481, -602, -3091
3.195593, -0.06951904296875, 0.06982421875, -0.03826904296875, -2.83251953125, 0.779296875, 0.3203125, 62.601343, -515, -599, -3135
3.21621, -0.05206298828125, 0.08868408203125, -0.05767822265625, -2.80029296875, 0.78759765625, 0.3642578125, 63.005223, -471, -551, -3118
3.236826, -0.04022216796875, 0.063232421875, -0.05767822265625, -2.830078125, 0.7978515625, 0.33544921875, 63.409103, -466, -580, -3111
3.257443, -0.0457763671875, 0.03387451171875, -0.06219482421875, -2.87255859375, 0.82421875, 0.30224609375, 63.812983, -519, -603, -3131
3.27806, -0.0933837890625, 0.0054931640625, -0.06591796875, -2.92431640625, 0.876953125, 0.267578125, 64.21686200000001, -506, -574, -3117
3.298677, -0.0665283203125, -0.02166748046875, -0.04486083984375, -2.951171875, 0.85888671875, 0.224609375, 64.62074200000001, -498, -589, -3119
3.319293, -0.0399169921875, -0.03265380859375, -0.03656005859375, -2.9580078125, 0.8466796875, 0.2109375, 65.024621, -777, -604, -3185
3.33991, -0.02105712890625, -0.01605224609375, -0.02862548828125, -2.92919921875, 0.83447265625, 0.23974609375, 65.428501, -840, -596, -3169
3.360527, -0.00946044921875, 0.00823974609375, -0.0341796875, -2.89208984375, 0.8349609375, 0.28466796875, 65.832381, -745, -627, -3179
3.381144, -0.0264892578125, -0.03997802734375, -0.03826904296875, -2.96044921875, 0.8681640625, 0.2177734375, 66.23626, -752, -589, -3158
3.40176, -0.03497314453125, -0.08050537109375, 0.00030517578125, -3.013671875, 0.8583984375, 0.14892578125, 66.64014, -140, -617, -2820
3.422377, -0.0189208984375, -0.09014892578125, 0.013916015625, -3.02197265625, 0.8466796875, 0.1357421875, 67.04402, -228, -669, -2950
3.442994, 0.021728515625, -0.072998046875, 0.009033203125, -2.98974609375, 0.828125, 0.1669921875, 67.44789900000001, -705, -709, -3177
3.46361, 0.07769775390625, -0.04742431640625, 0.00909423828125, -2.93798828125, 0.791015625, 0.20947265625, 67.85177899999999, -890, -549, -3139
3.484227, 0.11236572265625, -0.02191162109375, 0.009765625, -2.8876953125, 0.76611328125, 0.25146484375, 68.255658, -952, -467, -3100
3.504844, 0.0635986328125, -0.006591796875, 0.02825927734375, -2.8837890625, 0.79296875, 0.2705078125, 68.659538, -932, -612, -3168
3.525461, 0.06475830078125, -0.00628662109375, 0.04168701171875, -2.88232421875, 0.7880859375, 0.26953125, 69.063418, -678, -813, -3179
3.546078, 0.0760498046875, -0.00830078125, 0.021240234375, -2.880859375, 0.7998046875, 0.27783203125, 69.467297, -625, -955, -3175
3.566694, 0.068359375, -0.05108642578125, 0.019775390625, -2.94140625, 0.8193359375, 0.21826171875, 69.871177, -503, -1132, -3073
3.587311, 0.06866455078125, -0.0692138671875, 0.01763916015625, -2.9658203125, 0.82763671875, 0.19384765625, 70.275057, -452, -1253, -2963
3.607928, 0.03656005859375, -0.0445556640625, 0.0224609375, -2.93994140625, 0.84619140625, 0.232421875, 70.67893599999999, -479, -1286, -2973
3.628544, 0.04876708984375, -0.00457763671875, 0.0101318359375, -2.88330078125, 0.841796875, 0.2998046875, 71.08281599999999, -475, -1245, -2996
3.649161, 0.07073974609375, 0.03167724609375, 0.00335693359375, -2.82763671875, 0.82470703125, 0.3583984375, 71.486695, -490, -1269, -2961
3.669778, 0.052978515625, 0.0343017578125, 0.00982666015625, -2.8310546875, 0.833984375, 0.36083984375, 71.890575, -507, -1285, -2977
3.690394, 0.0421142578125, 0.01019287109375, 0.0147705078125, -2.865234375, 0.84521484375, 0.32470703125, 72.294455, -471, -1266, -2972
3.711011, 0.01708984375, 0.0203857421875, 0.02166748046875, -2.86083984375, 0.85546875, 0.337890625, 72.698335, -652, -1245, -3053
3.731628, 0.0404052734375, 0.02276611328125, 0.03515625, -2.84912109375, 0.83056640625, 0.33544921875, 73.102214, -669, -1232, -3018
3.752245, 0.09747314453125, 0.0281982421875, 0.0230712890625, -2.81787109375, 0.796875, 0.35009765625, 73.506094, -652, -1256, -3032
3.772862, 0.0748291015625, -0.0606689453125, 0.00250244140625, -2.947265625, 0.8486328125, 0.22509765625, 73.90997299999999, -644, -1246, -3045
3.793478, 0.00390625, -0.04840087890625, -0.01971435546875, -2.94873046875, 0.9111328125, 0.25390625, 74.31385299999999, -630, -1257, -3042
3.814095, -0.0009765625, -0.04205322265625, -0.01611328125, -2.94189453125, 0.9091796875, 0.2626953125, 74.717733, -634, -1261, -3046
3.834712, -0.00665283203125, -0.02947998046875, -0.02581787109375, -2.9267578125, 0.916015625, 0.287109375, 75.121612, -499, -1237, -3022
3.855328, 0.01666259765625, -0.01318359375, -0.02459716796875, -2.8994140625, 0.89453125, 0.3125, 75.525492, -370, -1224, -2922
3.875945, 0.0517578125, -0.00640869140625, 0.0069580078125, -2.8779296875, 0.841796875, 0.30615234375, 75.929372, -416, -1227, -2958
3.896562, 0.072021484375, -0.0111083984375, 0.03216552734375, -2.87646484375, 0.806640625, 0.28662109375, 76.333251, -447, -1270, -2951
3.917179, 0.0765380859375, -0.039306640625, 0.0211181640625, -2.91357421875, 0.81396484375, 0.24755859375, 76.73713100000001, -423, -1245, -2967
3.937795, 0.0543212890625, -0.01678466796875, 0.00872802734375, -2.88916015625, 0.8310546875, 0.28564453125, 77.14100999999999, -437, -1258, -2953
3.958412, 0.05010986328125, -0.01678466796875, 0.0084228515625, -2.89013671875, 0.830078125, 0.2841796875, 77.54489, -423, -1256, -2952
3.979029, 0.05810546875, 0.02935791015625, -0.00799560546875, -2.8232421875, 0.82080078125, 0.36083984375, 77.94877, -439, -1260, -2951
3.999646, 0.0704345703125, 0.00262451171875, -0.00128173828125, -2.853515625, 0.80859375, 0.31494140625, 78.352649, -404, -1262, -2935
4.020262, 0.0302734375, 0.0357666015625, 0.00103759765625, -2.82421875, 0.82275390625, 0.36083984375, 78.756529, -416, -1264, -2950
4.040879, -0.00579833984375, 0.05194091796875, -0.02783203125, -2.81787109375, 0.85986328125, 0.3994140625, 79.160409, -418, -1251, -2963
4.061496, 0.03021240234375, 0.11602783203125, -0.03680419921875, -2.71826171875, 0.81298828125, 0.4951171875, 79.564288, -441, -1254, -2958
4.082112, -0.0185546875, 0.06402587890625, -0.0281982421875, -2.8056640625, 0.85400390625, 0.412109375, 79.96816800000001, -439, -1256, -2955
4.102729, -0.03546142578125, 0.0621337890625, -0.0556640625, -2.81396484375, 0.880859375, 0.42431640625, 80.37204800000001, -426, -1243, -2981
4.123346, -0.09515380859375, 0.01702880859375, -0.04931640625, -2.89013671875, 0.92333984375, 0.345703125, 80.775927, -590, -1194, -3038
4.143963, -0.07232666015625, 0.003662109375, -0.05291748046875, -2.89892578125, 0.9091796875, 0.32275390625, 81.179807, -296, -1070, -2972
4.164579, -0.11505126953125, 0.0699462890625, -0.07281494140625, -2.83251953125, 0.92529296875, 0.4375, 81.583686, -197, -1107, -2820
4.185196, -0.10443115234375, 0.05145263671875, -0.07391357421875, -2.84912109375, 0.91943359375, 0.4052734375, 81.987566, -404, -1166, -2994
4.205813, -0.136962890625, 0.0296630859375, -0.08197021484375, -2.8857421875, 0.94677734375, 0.37109375, 82.391446, -550, -1183, -3052
4.22643, -0.14678955078125, 0.007568359375, -0.0693359375, -2.91455078125, 0.94287109375, 0.3232421875, 82.795326, -515, -1262, -2957
4.247046, -0.155517578125, -0.02099609375, -0.08648681640625, -2.95166015625, 0.962890625, 0.279296875, 83.19920500000001, -361, -1191, -2934
4.267663, -0.21368408203125, -0.027587890625, -0.10064697265625, -2.97216796875, 1.00244140625, 0.2705078125, 83.60308499999999, -279, -1233, -2777
4.28828, -0.177978515625, -0.01324462890625, -0.083740234375, -2.94775390625, 0.958984375, 0.283203125, 84.006964, -121, -1022, -2718
4.308897, -0.16876220703125, 0.011474609375, -0.071533203125, -2.9150390625, 0.93115234375, 0.314453125, 84.410844, -159, -853, -2802
4.329513, -0.14324951171875, 0.02081298828125, -0.05731201171875, -2.89501953125, 0.89453125, 0.31787109375, 84.814724, -108, -977, -2706
4.35013, -0.15008544921875, 0.01153564453125, -0.047119140625, -2.90869140625, 0.88623046875, 0.29443359375, 85.218603, -117, -921, -2714
4.370747, -0.15325927734375, 0.0025634765625, -0.03729248046875, -2.9208984375, 0.8759765625, 0.27197265625, 85.622483, -108, -929, -2713
4.391363, -0.13232421875, 0.00299072265625, -0.02154541015625, -2.91357421875, 0.84228515625, 0.2626953125, 86.026363, -112, -933, -2724
4.41198, -0.09222412109375, 0.01904296875, -0.00860595703125, -2.876953125, 0.79296875, 0.27783203125, 86.43024200000001, -171, -939, -2831
4.432597, -0.0877685546875, 0.00677490234375, -0.0426025390625, -2.89208984375, 0.810546875, 0.2705078125, 86.83412199999999, -182, -907, -2827
4.453213, -0.1319580078125, -0.01202392578125, -0.03900146484375, -2.93310546875, 0.8369140625, 0.236328125, 87.238001, -180, -947, -2820
4.47383, -0.101806640625, -0.020751953125, -0.03912353515625, -2.93603515625, 0.80908203125, 0.2197265625, 87.641881, -271, -880, -2938
4.494447, -0.11651611328125, -0.0068359375, -0.04156494140625, -2.919921875, 0.8125, 0.23974609375, 88.045761, -241, -868, -2910
4.515064, -0.1517333984375, -0.0098876953125, -0.03057861328125, -2.93505859375, 0.82421875, 0.22802734375, 88.449641, -229, -881, -2903
4.535681, -0.1741943359375, -0.0166015625, 0.003662109375, -2.9501953125, 0.8095703125, 0.2041015625, 88.85352, -144, -945, -2771
4.556297, -0.16796875, -0.01971435546875, 0.0189208984375, -2.95263671875, 0.7880859375, 0.193359375, 89.2574, -106, -895, -2722
4.576914, -0.11260986328125, -0.00634765625, 0.02960205078125, -2.91552734375, 0.73095703125, 0.20703125, 89.66127899999999, -102, -895, -2731
4.597531, -0.087158203125, 0.02215576171875, 0.031494140625, -2.86083984375, 0.69873046875, 0.244140625, 90.06515899999999, -142, -977, -2793
4.618147, -0.0911865234375, 0.0419921875, 0.05133056640625, -2.8310546875, 0.68017578125, 0.26220703125, 90.469039, -123, -998, -2690
4.638764, -0.0146484375, 0.033203125, 0.08416748046875, -2.80224609375, 0.5908203125, 0.23876953125, 90.872918, -136, -979, -2726
4.659381, 0.03753662109375, -0.05914306640625, 0.08453369140625, -2.94873046875, 0.54638671875, 0.11865234375, 91.276798, -133, -990, -2729
4.679997, 0.1297607421875, -0.0992431640625, 0.0838623046875, -3.00634765625, 0.4501953125, 0.0654296875, 91.680677, -146, -984, -2721
4.700614, 0.1846923828125, -0.039306640625, 0.09991455078125, -2.79931640625, 0.37451171875, 0.140625, 92.084557, -190, -1011, -2817
4.721231, 0.18890380859375, -0.016845703125, 0.09625244140625, -2.7265625, 0.36572265625, 0.16943359375, 92.488437, -199, -855, -2876
4.741848, 0.1839599609375, -0.0142822265625, 0.11865234375, -2.72216796875, 0.35791015625, 0.16748046875, 92.89231599999999, -129, -831, -2769
4.762465, 0.2208251953125, -0.02288818359375, 0.14239501953125, -2.693359375, 0.306640625, 0.15234375, 93.29619599999999, -144, -859, -2788
4.783081, 0.2645263671875, 0.011962890625, 0.1474609375, -2.50146484375, 0.251953125, 0.19287109375, 93.700075, -144, -853, -2804
4.803698, 0.29998779296875, 0.00787353515625, 0.13238525390625, -2.42138671875, 0.21435546875, 0.19189453125, 94.103955, -188, -1014, -2820
4.824315, 0.3172607421875, -0.00164794921875, 0.136474609375, -2.396484375, 0.1923828125, 0.18017578125, 94.507835, -361, -967, -3002
4.844931, 0.3414306640625, 0.0042724609375, 0.13677978515625, -2.2919921875, 0.1630859375, 0.18798828125, 94.911715, -197, -981, -2790
4.865548, 0.35711669921875, 0.010986328125, 0.1474609375, -2.20751953125, 0.14208984375, 0.1943359375, 95.315594, -195, -984, -2835
4.886165, 0.3797607421875, 0.021728515625, 0.13958740234375, -2.08349609375, 0.11669921875, 0.2099609375, 95.71947400000001, -197, -992, -2840
4.906782, 0.366943359375, 0.06390380859375, 0.083984375, -2.04443359375, 0.1396484375, 0.27685546875, 96.12335299999999, -256, -952, -2919
4.927398, 0.2476806640625, 0.12255859375, 0.0657958984375, -2.263671875, 0.28125, 0.3544921875, 96.527233, -148, -950, -2788
4.948015, 0.14947509765625, 0.130859375, 0.06085205078125, -2.4228515625, 0.390625, 0.3681640625, 96.931113, -157, -958, -2771
4.968632, 0.175048828125, 0.12451171875, 0.04132080078125, -2.3935546875, 0.373046875, 0.37158203125, 97.334992, -144, -975, -2778
4.989249, 0.07476806640625, 0.05657958984375, 0.0494384765625, -2.64892578125, 0.4873046875, 0.28857421875, 97.738872, -296, -1108, -2890
5.009865, 0.0816650390625, -0.005859375, 0.07647705078125, -2.76513671875, 0.4765625, 0.205078125, 98.142752, -190, -1056, -2790
5.030482, 0.15704345703125, -0.00469970703125, 0.10174560546875, -2.6845703125, 0.3896484375, 0.203125, 98.546631, -188, -1053, -2773
5.051099, 0.21966552734375, 0.02716064453125, 0.07916259765625, -2.5146484375, 0.33056640625, 0.2509765625, 98.95051100000001, -188, -1074, -2800
5.071715, 0.20440673828125, -0.001953125, 0.0281982421875, -2.609375, 0.375, 0.2333984375, 99.35439, -199, -1062, -2809
5.092332, 0.0982666015625, -0.053466796875, 0.037109375, -2.8427734375, 0.49609375, 0.16748046875, 99.75827, -211, -1063, -2806
5.112949, 0.09661865234375, -0.02838134765625, 0.02783203125, -2.78466796875, 0.50390625, 0.20703125, 100.16215, -218, -1072, -2813
5.133566, 0.0496826171875, -0.02392578125, 0.01983642578125, -2.80615234375, 0.55859375, 0.21923828125, 100.56603, -311, -1093, -2910
5.154182, 0.0328369140625, -0.03680419921875, 0.00787353515625, -2.83740234375, 0.587890625, 0.21044921875, 100.969909, -266, -975, -2919
5.174799, 0.01409912109375, -0.029052734375, -0.0057373046875, -2.830078125, 0.61669921875, 0.22998046875, 101.373789, -226, -914, -2903
5.195416, 0.00177001953125, -0.0399169921875, -0.02899169921875, -2.85205078125, 0.6494140625, 0.2275390625, 101.777668, -222, -916, -2879
5.216033, -0.04541015625, -0.04364013671875, -0.04388427734375, -2.87646484375, 0.7060546875, 0.23291015625, 102.181548, -226, -937, -2873
5.236649, -0.058349609375, -0.06439208984375, -0.06365966796875, -2.9111328125, 0.73876953125, 0.21484375, 102.585428, -220, -939, -2867
5.257266, -0.0819091796875, -0.06060791015625, -0.0625, -2.9091796875, 0.759765625, 0.2265625, 102.989307, -214, -929, -2865
5.277883, -0.10369873046875, -0.052734375, -0.08123779296875, -2.900390625, 0.79296875, 0.251953125, 103.393187, -211, -912, -2867
5.2985, -0.12152099609375, -0.04302978515625, -0.086181640625, -2.888671875, 0.8115234375, 0.275390625, 103.797066, -171, -863, -2805
5.319116, -0.11651611328125, -0.06298828125, -0.09576416015625, -2.91015625, 0.822265625, 0.255859375, 104.200946, -91, -883, -2643
5.339733, -0.12774658203125, -0.0682373046875, -0.09600830078125, -2.91650390625, 0.83447265625, 0.2548828125, 104.604826, -142, -891, -2758
5.36035, -0.1612548828125, -0.05938720703125, -0.08734130859375, -2.91015625, 0.85205078125, 0.27197265625, 105.008706, -142, -933, -2783
5.380966, -0.1441650390625, -0.04150390625, -0.0882568359375, -2.87646484375, 0.83935546875, 0.306640625, 105.412585, -197, -945, -2844
5.401583, -0.13983154296875, -0.05841064453125, -0.0830078125, -2.892578125, 0.83837890625, 0.2861328125, 105.816465, -188, -964, -2854
5.4222, -0.15435791015625, -0.05841064453125, -0.08905029296875, -2.89208984375, 0.85498046875, 0.29638671875, 106.220344, -182, -949, -2829
5.442817, -0.1173095703125, -0.0350341796875, -0.07879638671875, -2.84375, 0.8173828125, 0.3330078125, 106.624224, -190, -922, -2833
5.463433, -0.09906005859375, -0.04119873046875, -0.07318115234375, -2.83935546875, 0.80322265625, 0.32861328125, 107.028104, -197, -931, -2827
5.48405, -0.11212158203125, -0.04766845703125, -0.073974609375, -2.84814453125, 0.81640625, 0.32666015625, 107.431983, -184, -943, -2850
5.504667, -0.0999755859375, -0.03216552734375, -0.0633544921875, -2.81787109375, 0.79736328125, 0.3505859375, 107.835863, -169, -956, -2827
5.525284, -0.0714111328125, -0.0301513671875, -0.05615234375, -2.796875, 0.771484375, 0.3564453125, 108.239743, -188, -933, -2814
5.5459, -0.07647705078125, -0.03546142578125, -0.06414794921875, -2.80126953125, 0.78271484375, 0.35986328125, 108.643622, -186, -941, -2839
5.566517, -0.07220458984375, -0.018798828125, -0.0672607421875, -2.77197265625, 0.77734375, 0.390625, 109.047502, -161, -971, -2790
5.587134, -0.06927490234375, 0.00115966796875, -0.062744140625, -2.7392578125, 0.76611328125, 0.42138671875, 109.451381, -186, -1131, -2708
5.60775, -0.0328369140625, 0.0113525390625, -0.0440673828125, -2.7001953125, 0.72265625, 0.42919921875, 109.855261, -136, -990, -2745
5.628367, -0.028076171875, 0.0003662109375, -0.034423828125, -2.7060546875, 0.71533203125, 0.41552734375, 110.259141, -142, -1006, -2763
5.648984, -0.0107421875, -0.0111083984375, -0.03839111328125, -2.70458984375, 0.70556640625, 0.40869140625, 110.663021, -142, -984, -2706
5.669601, -0.08099365234375, -0.00750732421875, -0.05841064453125, -2.73486328125, 0.76953125, 0.43017578125, 111.0669, -159, -1012, -2759
5.690218, -0.0277099609375, -0.0318603515625, -0.04345703125, -2.73046875, 0.72412109375, 0.39501953125, 111.47078, -127, -1010, -2765
5.710834, -0.025146484375, -0.01708984375, -0.031005859375, -2.703125, 0.70751953125, 0.412109375, 111.874659, -132, -984, -2743
5.731451, -0.0191650390625, -0.02008056640625, -0.0269775390625, -2.69677734375, 0.69775390625, 0.41064453125, 112.278539, -136, -1000, -2745
5.752068, 0.01593017578125, -0.03582763671875, -0.02471923828125, -2.6884765625, 0.66845703125, 0.39404296875, 112.682419, -277, -1049, -2920
