Time (s), Channel Name, Value
10.26, GPIO-1, 480
10.3042, GPIO-1, 496
10.3044, GPIO-1, 480
10.3076, GPIO-1, 496
10.3078, GPIO-1, 480
10.3978, GPIO-1, 496
10.398, GPIO-1, 480
10.4268, GPIO-1, 496
10.427, GPIO-1, 480
10.4298, GPIO-1, 496
10.43, GPIO-1, 480
10.5172, GPIO-1, 496
10.5174, GPIO-1, 480
10.5426, GPIO-1, 496
10.5428, GPIO-1, 480
10.5594, GPIO-1, 496
10.5596, GPIO-1, 480
10.5746, GPIO-1, 496
10.5748, GPIO-1, 480
10.5836, GPIO-1, 496
10.5838, GPIO-1, 480
10.5966, GPIO-1, 496
10.5968, GPIO-1, 480
10.6236, GPIO-1, 496
10.6238, GPIO-1, 480
10.628, GPIO-1, 496
10.6282, GPIO-1, 480
10.6292, GPIO-1, 496
10.6294, GPIO-1, 480
10.6658, GPIO-1, 496
10.666, GPIO-1, 480
10.6908, GPIO-1, 496
10.691, GPIO-1, 480
10.6964, GPIO-1, 496
10.6966, GPIO-1, 480
10.6992, GPIO-1, 496
10.6994, GPIO-1, 480
10.725, GPIO-1, 496
10.7252, GPIO-1, 480
10.734, GPIO-1, 496
10.7342, GPIO-1, 480
10.7502, GPIO-1, 496
10.7504, GPIO-1, 480
10.7836, GPIO-1, 496
10.7838, GPIO-1, 480
10.854, GPIO-1, 496
10.8542, GPIO-1, 480
10.8976, GPIO-1, 496
10.8978, GPIO-1, 480
10.8994, GPIO-1, 496
10.8996, GPIO-1, 480
10.908, GPIO-1, 496
10.9082, GPIO-1, 480
10.922, GPIO-1, 496
10.9222, GPIO-1, 480
10.9364, GPIO-1, 496
10.9366, GPIO-1, 480
11.0174, GPIO-1, 496
11.0176, GPIO-1, 480
11.041, GPIO-1, 496
11.0412, GPIO-1, 480
11.1188, GPIO-1, 496
11.119, GPIO-1, 480
11.1236, GPIO-1, 496
11.1238, GPIO-1, 480
11.2636, GPIO-1, 496
11.2638, GPIO-1, 480
11.2732, GPIO-1, 496
11.2734, GPIO-1, 480
11.2784, GPIO-1, 496
11.2786, GPIO-1, 480
11.301, GPIO-1, 496
11.3012, GPIO-1, 480
11.313, GPIO-1, 496
11.3132, GPIO-1, 480
11.3446, GPIO-1, 496
11.3448, GPIO-1, 480
11.435, GPIO-1, 496
11.4352, GPIO-1, 480
11.4706, GPIO-1, 496
11.4708, GPIO-1, 480
11.4896, GPIO-1, 496
11.4898, GPIO-1, 480
11.4998, GPIO-1, 496
11.5, GPIO-1, 480
11.5362, GPIO-1, 496
11.5364, GPIO-1, 480
11.5466, GPIO-1, 496
11.5468, GPIO-1, 480
11.5474, GPIO-1, 496
11.5476, GPIO-1, 480
11.6874, GPIO-1, 496
11.6876, GPIO-1, 480
11.761, GPIO-1, 496
11.7612, GPIO-1, 480
11.7694, GPIO-1, 496
11.7696, GPIO-1, 480
11.7724, GPIO-1, 496
11.7726, GPIO-1, 480
11.8848, GPIO-1, 496
11.885, GPIO-1, 480
11.9806, GPIO-1, 496
11.9808, GPIO-1, 480
12.0218, GPIO-1, 496
12.022, GPIO-1, 480
12.0246, GPIO-1, 496
12.0248, GPIO-1, 480
12.0382, GPIO-1, 496
12.0384, GPIO-1, 480
12.088, GPIO-1, 496
12.0882, GPIO-1, 480
12.123, GPIO-1, 496
12.1232, GPIO-1, 480
12.1484, GPIO-1, 496
12.1486, GPIO-1, 480
12.1696, GPIO-1, 496
12.1698, GPIO-1, 480
12.1754, GPIO-1, 496
12.1756, GPIO-1, 480
12.2236, GPIO-1, 496
12.2238, GPIO-1, 480
12.241, GPIO-1, 496
12.2412, GPIO-1, 480
12.2534, GPIO-1, 496
12.2536, GPIO-1, 480
12.2784, GPIO-1, 496
12.2786, GPIO-1, 480
12.3236, GPIO-1, 496
12.3238, GPIO-1, 480
12.3792, GPIO-1, 496
12.3794, GPIO-1, 480
12.4016, GPIO-1, 496
12.4018, GPIO-1, 480
12.4154, GPIO-1, 496
12.4156, GPIO-1, 480
12.4254, GPIO-1, 496
12.4256, GPIO-1, 480
12.4488, GPIO-1, 496
12.449, GPIO-1, 480
12.4916, GPIO-1, 496
12.4918, GPIO-1, 480
12.5036, GPIO-1, 496
12.5038, GPIO-1, 480
12.5742, GPIO-1, 496
12.5744, GPIO-1, 480
12.5848, GPIO-1, 496
12.585, GPIO-1, 480
12.6682, GPIO-1, 496
12.6684, GPIO-1, 480
12.7022, GPIO-1, 496
12.7024, GPIO-1, 480
12.7296, GPIO-1, 496
12.7298, GPIO-1, 480
12.742, GPIO-1, 496
12.7422, GPIO-1, 480
12.7558, GPIO-1, 496
12.7562, GPIO-1, 480
12.7614, GPIO-1, 496
12.7616, GPIO-1, 480
12.764, GPIO-1, 496
12.7642, GPIO-1, 480
12.8, GPIO-1, 496
12.8002, GPIO-1, 480
12.8132, GPIO-1, 496
