Time,Fluo,Isos,IO2,IO3,Distances
69.81,0.16083206763684166,0.15024906747194847,0,0,
69.82,0.16095026240218366,0.15028074062955266,0,0,
69.83,0.16101968143280637,0.15028397092431586,0,0,
69.84,0.16099701700764316,0.1502319719698692,0,0,
69.85,0.1608927231618542,0.15010161958085505,0,0,
69.86,0.1607505740421486,0.14996096760576064,0,0,
69.87,0.16063368510538809,0.14985591168960116,0,0,
69.88,0.16058450656301435,0.14979902321349048,0,0,
69.89,0.16058811595036038,0.1498255849936789,0,0,
69.9,0.16061253550646545,0.1499035055836869,1,0,0.6233307840467418
69.91,0.1606270315039403,0.14995419701692259,0,0,
69.92,0.16062921477434028,0.14998473399367374,0,0,
69.93,0.16061909366958355,0.14996422188858832,0,0,
69.94,0.1605899736819714,0.14986140854550892,0,0,
69.95,0.16055118111381336,0.14976280884504722,0,0,
69.96,0.16052029489720585,0.14970471854897258,0,0,
69.97,0.16052491905289312,0.1496687424848468,0,0,
69.98,0.16055579031726075,0.14966293242527148,0,0,
69.99,0.16057765373534705,0.1496558860235297,0,0,
70.0,0.16055291667714372,0.14960067615580833,1,0,1.6263550860844194
70.01,0.16046586907783353,0.1495212853198195,0,0,
70.02,0.16035747973574946,0.14942223810192087,0,0,
70.03,0.1602906857398231,0.14930239772284915,0,0,
70.04,0.16032102020692043,0.1492592744398502,0,0,
70.05,0.16044193063861065,0.14930281890141245,0,0,
70.06,0.16059495936025334,0.1493580300386286,0,0,
70.07,0.16071201433399698,0.14940818334573502,0,0,
70.08,0.16074485414091122,0.14941354761764616,0,0,
70.09,0.16070168928437575,0.14935485816773447,0,0,
70.1,0.1606162397816134,0.14929109290103681,1,0,1.1161027365257319
70.11,0.1605417941193463,0.14925334407702376,0,0,
70.12,0.16051205922882586,0.1492392438076547,0,0,
70.13,0.16052770260726903,0.14929561645380426,0,0,
70.14,0.16058300671524547,0.1494067535981673,0,0,
70.15,0.16066397388457185,0.14950939473640576,0,0,
70.16,0.1607536040034432,0.14962490395344072,0,0,
70.17,0.16080755226918553,0.1497190897742567,0,0,
70.18,0.1608012435594764,0.1497401912314178,0,0,
70.19,0.16076234593976022,0.14973700362571643,0,0,
70.2,0.16074804184769825,0.1497354281636957,1,0,0.23321468487090233
70.21,0.160800646247442,0.1497380447992404,0,0,
70.22,0.16089740976911868,0.14977564718577124,0,0,
70.23,0.1609941856487765,0.14983020295354135,0,0,
70.24,0.16104570572501184,0.14985771192453703,0,0,
70.25,0.16102537022551167,0.1498891678571289,0,0,
70.26,0.1609366104073369,0.1499052850465534,0,0,
70.27,0.1608144410016539,0.14985855207736568,0,0,
70.28,0.1607264737130783,0.1498107355294887,0,0,
70.29,0.16070310261388807,0.14978203663350512,0,0,
70.3,0.1607336405873856,0.14975833877268444,1,0,0.23321468487090233
70.31,0.1607846108159252,0.14977244948940388,0,0,
70.32,0.16083113776362098,0.14979963358939433,0,0,
70.33,0.16086354179616186,0.14979615265617596,0,0,
70.34,0.1608639474440163,0.1497844464006659,0,0,
70.35,0.16084031879181382,0.1497718380404925,0,0,
70.36,0.16081772824844479,0.14974649406247947,0,0,
70.37,0.16082615157935848,0.149763511410783,0,0,
70.38,0.16086126096809245,0.1498059302795258,0,0,
70.39,0.16088740312177363,0.14981454283791712,0,0,
70.4,0.16088941074038557,0.14982886014338667,1,0,0.23321468487090233
70.41,0.16086124219391632,0.14984604877282737,0,0,
70.42,0.1608167631042867,0.14984365865510194,0,0,
70.43,0.16077702222394902,0.14986362251770055,0,0,
70.44,0.16077537618376922,0.14991010567130542,0,0,
70.45,0.16083689969002635,0.1499611060596418,0,0,
70.46,0.1609356043702505,0.15003819899117735,0,0,
70.47,0.16101912363115717,0.15011581694635326,0,0,
70.48,0.1610303827485478,0.15013296033308282,0,0,
70.49,0.1609610766481315,0.15011407186943995,0,0,
70.5,0.1608402183847174,0.15004228308176798,1,0,0.06712009805254178
70.51,0.16071534552998057,0.14989549423172538,0,0,
70.52,0.16063744451474135,0.14976306919192078,0,0,
70.53,0.16062065057124958,0.14968488304112704,0,0,
70.54,0.16065768580540915,0.14965790349712688,0,0,
70.55,0.16071838554628534,0.14970950932788263,0,0,
