,701_A53T
-0.45,0.014933937087692861
-0.44,0.002095848757333235
-0.43,-0.0222320765374098
-0.42,-0.05650061442291521
-0.41,-0.09435858068850553
-0.4,-0.12627950902922014
-0.39,-0.14337158945882456
-0.38,-0.14157571707602343
-0.37,-0.12375942891775388
-0.36,-0.09837666264369557
-0.35,-0.07548179092142335
-0.34,-0.06217691620446317
-0.33,-0.059815669925220555
-0.32,-0.06450874312231081
-0.31,-0.07034489088282006
-0.3,-0.07285374011152124
-0.29,-0.07057248306187089
-0.28,-0.06419426505269657
-0.27,-0.05417474748417425
-0.26,-0.03886676812953427
-0.25,-0.015256411587698415
-0.24,0.017915080200951852
-0.23,0.057306476969871074
-0.22,0.09487021501318024
-0.21,0.12082153000034973
-0.2,0.12817097382532017
-0.19,0.1163249316119019
-0.18,0.0916222378348772
-0.17,0.06473440431754207
-0.16,0.046599177586147025
-0.15,0.044382236588982854
-0.14,0.058525201682925514
-0.13,0.0823099317342631
-0.12,0.10478802850536277
-0.11,0.11582890947114266
-0.1,0.1105825556086855
-0.09,0.09109049049476894
-0.08,0.06444087363483605
-0.07,0.03898077944239707
-0.06,0.02122802664995277
-0.05,0.014707069366646341
-0.04,0.01965452825291751
-0.03,0.03264046212710138
-0.02,0.047035907731453296
-0.01,0.05558761427115661
0.0,0.05444261512298252
0.01,0.04610549216737252
0.02,0.03887129918903797
0.03,0.042488397097710955
0.04,0.0627974225230507
0.05,0.09894803245872223
0.06,0.14444245936811984
0.07,0.19066037751096482
0.08,0.23097650673857614
0.09,0.26375170280661714
0.1,0.29256030543280925
0.11,0.32333816577256935
0.12,0.36025420269214914
0.13,0.4027711255475472
0.14,0.445392507672175
0.15,0.48021209982559443
0.16,0.5007819183559057
0.17,0.5048849187430116
0.18,0.49491391872454255
0.19,0.4763717881939923
0.2,0.4554623303780865
0.21,0.43660461415517793
0.22,0.4209490391247762
0.23,0.4065802752401433
0.24,0.3900192959636719
0.25,0.3683064282974346
0.26,0.3410218815086681
0.27,0.3111323125153432
0.28,0.2838201981719063
0.29,0.2640847285298291
0.3,0.25482356507935816
0.31,0.2562629227168619
0.32,0.2663913825612897
0.33,0.2815706157461364
0.34,0.29685784985391694
0.35,0.3065964370234515
0.36,0.30625439268690857
0.37,0.2949846180471737
0.38,0.2766572376334438
0.39,0.25810756416660785
0.4,0.24589284713007314
0.41,0.24360584994482853
0.42,0.25081417188341004
0.43,0.26380232537308906
0.44,0.27748960279217305
0.45,0.2872288434215855
0.46,0.28972653102489604
0.47,0.2834353270988754
0.48,0.26882395686163646
0.49,0.24845459196047587
0.5,0.22686267381557784
0.51,0.21009960966700136
0.52,0.20440329910292254
0.53,0.21402551135129594
0.54,0.2392130879960471
0.55,0.2753416665564655
0.56,0.31373175973882766
0.57,0.3443080191152838
0.58,0.35929561584570685
0.59,0.35611646486195736
0.6,0.3381279008959283
0.61,0.3131223259211395
0.62,0.29007473838626596
0.63,0.27533506248044826
0.64,0.27050216769137336
0.65,0.27334282352882544
0.66,0.2803891751515185
0.67,0.2886423674879134
0.68,0.29545941951855254
0.69,0.29791174691456634
0.7,0.29345116453091424
0.71,0.28217488711337446
0.72,0.26852417519043514
0.73,0.2598401507714082
0.74,0.26230193701937454
0.75,0.2777651207370273
0.76,0.30389721016424676
0.77,0.3365622312554663
0.78,0.3718483907738354
0.79,0.40621500892094703
0.8,0.4352319487285509
0.81,0.4528800740215814
0.82,0.4530970765454842
0.83,0.43302045456672256
0.84,0.39554015993905073
0.85,0.34915217995883535
0.86,0.3047387314372123
0.87,0.2707789583547911
0.88,0.2500468380099563
0.89,0.24012107478855457
0.9,0.23672116915161515
0.91,0.23668194599745607
0.92,0.23872552950280065
0.93,0.24259529359292922
0.94,0.24783820631422573
0.95,0.25313851168532886
0.96,0.2565380750371171
0.97,0.25617819608355363
0.98,0.25112759002238905
0.99,0.24230284803161842
1.0,0.23306555901935688
1.01,0.22843803568991686
1.02,0.23287963923132105
1.03,0.24818484093801094
1.04,0.2728555557270832
1.05,0.30282979229701384
1.06,0.33283664848835337
1.07,0.35790047087971094
1.08,0.3748009187986449
1.09,0.38344289570476775
1.1,0.38758178378922187
1.11,0.3936572060304055
1.12,0.40752251588005367
1.13,0.4310877003451086
1.14,0.46125191956831246
1.15,0.49158424697964964
1.16,0.5156057634588913
1.17,0.5300400978486344
1.18,0.5361832014906265
1.19,0.538314909240354
1.2,0.5401740445365025
1.21,0.5419443082445771
1.22,0.5397707548839474
1.23,0.5283125608944585
1.24,0.5048300146791584
1.25,0.4717866465832218
1.26,0.43586370439037336
1.27,0.40439097367616317
1.28,0.38215355925940936
1.29,0.3705068950518444
1.3,0.3685663561530194
1.31,0.3748932205338506
1.32,0.3880794932890493
1.33,0.40607287968427913
1.34,0.425659617185908
1.35,0.44312470463254533
1.36,0.45542902863273466
1.37,0.4608891970113577
1.38,0.45934986365022834
1.39,0.45223204534024025
1.4,0.4424991452246824
1.41,0.4343820453894243
1.42,0.4324426196694212
1.43,0.43970260272965467
1.44,0.45585852866054033
1.45,0.4772860540150107
1.46,0.49897324213417066
1.47,0.5166924627507992
1.48,0.5279840372991604
1.49,0.5319810590106491
1.5,0.5288958896625853
1.51,0.5198835622583291
1.52,0.5072500962036455
1.53,0.4941558271803337
1.54,0.4834551644748165
1.55,0.476679990987463
1.56,0.474062510303542
1.57,0.47507109366586475
1.58,0.4786403784644152
1.59,0.4831497009734389
1.6,0.4864673863999552
1.61,0.4861689959654893
1.62,0.4801866978143735
1.63,0.46790651984413206
1.64,0.4509639915525042
1.65,0.4329999939657993
1.66,0.4183772718282609
1.67,0.41032483044036816
1.68,0.4093532144381361
1.69,0.4130042060697709
1.7,0.417152775056497
1.71,0.41782554032140184
1.72,0.41253011473374795
1.73,0.40092657408005944
1.74,0.38478654331603385
1.75,0.36717046895005984
1.76,0.35137811820997367
1.77,0.34027684046298157
1.78,0.33590338483401755
1.79,0.3392160730308985
1.8,0.3502035836892075
1.81,0.3680792018468423
1.82,0.39100973062308536
1.83,0.4157084232324289
1.84,0.4378246845137648
1.85,0.45342340332988884
1.86,0.46108535911393367
1.87,0.46365412488635904
1.88,0.4680960835906601
1.89,0.482585115457544
1.9,0.5121454995919876
1.91,0.5556201535924292
1.92,0.6058694084605101
1.93,0.6530592148669838
1.94,0.6890221133633481
1.95,0.7099654150219536
1.96,0.7162735399856301
1.97,0.7106801447442825
1.98,0.6967149592290771
1.99,0.6779274865300724
2.0,0.6575553862913053
2.01,0.638433751186402
2.02,0.6227950588591136
2.03,0.6117304966388752
2.04,0.604898016758707
2.05,0.6010547314044041
2.06,0.5988722776653546
2.07,0.5972076361758349
2.08,0.594904842694661
2.09,0.5906717802852997
2.1,0.5833896237553811
2.11,0.5729305444096209
2.12,0.5608422380520919
2.13,0.5498014155057432
2.14,0.5418486556710478
2.15,0.5368980987559372
2.16,0.5327646601772382
2.17,0.5265052993247652
2.18,0.515959713253866
2.19,0.5003657923203297
2.2,0.479839050072776
2.21,0.4549741310548228
