,Isos,Fluo
0.88,0.14562931742459176,0.16249240602805132
0.89,0.14561869818175247,0.16248889470187242
0.9,0.14560081559335103,0.16247408234324703
0.91,0.1455513424835415,0.1624445653939417
0.92,0.14546516638576015,0.162412642594388
0.93,0.14540404626383013,0.16239679700702753
0.94,0.14537315207447463,0.1624141885904838
0.95,0.1453642261551813,0.16245866618132465
0.96,0.14538726115130915,0.16248808744090956
0.97,0.1453953509759477,0.1624745237625855
0.98,0.14534411717607804,0.16241047762244876
0.99,0.14527071453422577,0.1623175652766758
1.0,0.1451663100240947,0.1622229258540525
1.01,0.14504008075276473,0.16215146507463102
1.02,0.14497473575899864,0.16212276255210412
1.03,0.14495591991620513,0.1621228372661936
1.04,0.1449435364156087,0.16213459952216383
1.05,0.14493988624008566,0.16213898295513918
1.06,0.14491292537108325,0.16212498193051134
1.07,0.14485283795733692,0.16207860312678563
1.08,0.14480154345897409,0.1619909686153325
1.09,0.144748798677808,0.16189674486830177
1.1,0.1446779304465431,0.16183673237438628
1.11,0.1446455379904021,0.1618318786648731
1.12,0.14463447722027656,0.16185539048186778
1.13,0.14460715463213827,0.16187160149043578
1.14,0.14458328901990092,0.16187358598387172
1.15,0.14452644812878834,0.1618565604722483
1.16,0.14442957787629718,0.16181991802890702
1.17,0.1443477893450552,0.16176350824112135
1.18,0.14428947424703187,0.16171823701080956
1.19,0.144252634202303,0.16171485547607467
1.2,0.14427223300976044,0.1617498889749158
1.21,0.14432291540361533,0.16180007748866201
1.22,0.14436038767148254,0.16182869877543074
1.23,0.14439567668124456,0.16181926614531714
1.24,0.1443803812855409,0.1617674044359933
1.25,0.1443055876478698,0.16169966685769796
1.26,0.1442524118731321,0.16166488465351098
1.27,0.14423034866403456,0.16169040544602606
1.28,0.14423394424122765,0.1617718772872403
1.29,0.14428827111580475,0.16186631748960917
1.3,0.1443596841650949,0.16194411554374102
1.31,0.14439311278111738,0.1619868142746363
1.32,0.14438457376463723,0.1619860159585369
1.33,0.14431152389709853,0.16195597237097956
1.34,0.14420283932373493,0.16192393911882164
1.35,0.14417670134831653,0.16192868940132704
1.36,0.1442401506724207,0.16197747246858232
1.37,0.14435192301455224,0.1620650928944466
1.38,0.14449704579536043,0.16217281198690445
1.39,0.14459716940875744,0.16226079378597996
1.4,0.14460853848770588,0.1622912731345285
1.41,0.14456911044457862,0.16224208643332094
1.42,0.14449875826534786,0.16214354027503738
1.43,0.14441147246738337,0.16203684923342865
1.44,0.14436282471301495,0.1619489099596841
1.45,0.14433739237752016,0.16189016008653562
1.46,0.14431560392607842,0.16186627140453025
1.47,0.1443377546780674,0.16189467023215737
1.48,0.14435023515871054,0.16196030609697926
1.49,0.14431735130344667,0.16202787165204702
1.5,0.14429272180755856,0.16205852258844608
1.51,0.14428008023982686,0.16204168484964393
1.52,0.14426729208206318,0.1619949254130837
1.53,0.14427030146754413,0.16193666639125878
1.54,0.14426826964461217,0.1618982800950844
1.55,0.14424666569044306,0.16188925068167664
1.56,0.14424652279449693,0.1619014799504059
1.57,0.1442296545198836,0.16192201738820822
1.58,0.14416650061619485,0.1619497728483013
1.59,0.14411889651725546,0.16199260455056533
1.6,0.14407457000509616,0.16203217219148838
1.61,0.14401495864303857,0.1620500177286042
1.62,0.14397267956307086,0.16203408277685546
1.63,0.14393137895106764,0.16199721100444123
1.64,0.14387557449333058,0.16195381480713872
1.65,0.14383316492065157,0.16189542335549564
